i,true_label,logit,plain_score,exact_poly_score,he_score,approx_delta,ckks_noise,total_delta,plain_label,he_label,label_match,boundary_margin
0,0,-8.381377,0.00022904,0.39677336,0.39677237,0.39654432,9.86421e-07,0.39654333,0,0,1,8.381377
1,1,15.979536,0.99999989,0.69357969,0.69358016,0.3064202,4.65894e-07,0.30641973,1,1,1,15.979536
2,1,5.221287,0.99462864,0.56455127,0.56455111,0.43007737,1.57577e-07,0.43007752,1,1,1,5.221287
3,0,-11.117609,1.485e-05,0.36372062,0.36371949,0.36370578,1.138243e-06,0.36370464,0,0,1,11.117609
4,0,-9.548243,7.132e-05,0.38261998,0.38261893,0.38254866,1.052281e-06,0.38254761,0,0,1,9.548243
5,0,-9.298028,9.16e-05,0.38564812,0.38564708,0.38555653,1.043922e-06,0.38555548,0,0,1,9.298028
6,1,6.05825,0.99766697,0.57483631,0.5748362,0.42283066,1.07735e-07,0.42283076,1,1,1,6.05825
7,0,-8.143544,0.00029052,0.39966764,0.39966666,0.39937712,9.74532e-07,0.39937614,0,0,1,8.143544
8,1,16.607542,0.99999994,0.70081665,0.70081715,0.29918329,4.98541e-07,0.29918279,1,1,1,16.607542
9,1,4.354617,0.9873156,0.55387598,0.55387577,0.43343963,2.09411e-07,0.43343984,1,1,1,4.354617
10,1,5.337271,0.99521404,0.56597806,0.5659779,0.42923598,1.54416e-07,0.42923614,1,1,1,5.337271
11,0,-10.068259,4.24e-05,0.3763393,0.37633822,0.3762969,1.077973e-06,0.37629582,0,0,1,10.068259
12,0,-7.689778,0.00045727,0.40519797,0.40519702,0.40474069,9.4748e-07,0.40473975,0,0,1,7.689778
13,1,10.528764,0.99997325,0.62920776,0.62920792,0.37076549,1.58767e-07,0.37076533,1,1,1,10.528764
14,0,-7.751183,0.00043005,0.40444896,0.404448,0.40401891,9.55733e-07,0.40401795,0,0,1,7.751183
15,1,5.140311,0.99417822,0.56355485,0.56355469,0.43062337,1.62712e-07,0.43062353,1,1,1,5.140311
16,0,-7.450453,0.00058084,0.40811898,0.40811804,0.40753814,9.35616e-07,0.4075372,0,0,1,7.450453
17,1,0.089354,0.52232361,0.50110735,0.50110686,0.02121626,4.83238e-07,0.02121674,1,1,1,0.089354
18,1,17.579393,0.99999998,0.71193087,0.71193143,0.2880691,5.54124e-07,0.28806855,1,1,1,17.579393
19,0,-10.815093,2.009e-05,0.36735055,0.36734943,0.36733046,1.119942e-06,0.36732934,0,0,1,10.815093
