profile,rtt_ms,mode,i,compute_ms,transport_ms,total_ms,label_match,transport_model
ideal,0.0,plaintext,0,0.773,0.0,0.773,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,0,5810.479,0.014,5810.493,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,0,246.174,0.014,246.188,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,1,0.077,0.0,0.077,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,1,5096.355,0.014,5096.369,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,1,238.141,0.014,238.155,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,2,0.061,0.0,0.061,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,2,5010.516,0.014,5010.53,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,2,234.216,0.014,234.23,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,3,0.052,0.0,0.053,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,3,4952.029,0.014,4952.043,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,3,234.905,0.014,234.919,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,4,0.052,0.0,0.052,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,4,4986.344,0.014,4986.358,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,4,229.034,0.014,229.048,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,5,0.048,0.0,0.048,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,5,4901.02,0.014,4901.034,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,5,224.463,0.014,224.477,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,6,0.054,0.0,0.054,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,6,4908.338,0.014,4908.352,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,6,263.48,0.014,263.494,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,7,0.059,0.0,0.059,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,7,5064.502,0.014,5064.516,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,7,279.317,0.014,279.331,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,8,0.049,0.0,0.049,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,8,4075.221,0.014,4075.235,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,8,174.636,0.014,174.65,1,analytic: rtt + bytes/bandwidth
ideal,0.0,plaintext,9,0.032,0.0,0.032,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-cold,9,2373.446,0.014,2373.46,1,analytic: rtt + bytes/bandwidth
ideal,0.0,encrypted-warm,9,102.438,0.014,102.452,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,plaintext,0,0.773,10.009,10.782,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-cold,0,5810.479,136.344,5946.823,1,analytic: rtt + bytes/bandwidth
mec-edge,10.0,encrypted-warm,0,246.174,136.344,382.518,1,analytic: rtt + bytes/bandwidth
