i,true_label,logit,plain_score,he_score,plain_label,he_label,label_match,t_plain_infer_ms,t_encrypt_ms,t_infer_cold_ms,t_infer_warm_ms,t_decrypt_ms,ct_bytes,result_bytes,plain_req_bytes
0,1,5.337271,0.995214,0.565978,1,1,1,0.7732,82.886,5712.199,147.894,15.394,1404440,349724,81
1,0,-11.117609,1.5e-05,0.363719,0,0,1,0.0774,80.264,5010.202,151.988,5.889,1404240,349724,67
2,1,0.089354,0.522324,0.501107,1,1,1,0.0607,76.845,4925.982,149.682,7.689,1405136,349724,84
3,0,-8.381377,0.000229,0.396772,0,0,1,0.0525,78.741,4864.195,147.071,9.093,1404136,349724,82
4,1,5.140311,0.994178,0.563555,1,1,1,0.0521,74.439,4905.444,148.134,6.461,1404784,349724,67
5,0,-10.068259,4.2e-05,0.376338,0,0,1,0.0478,72.883,4821.722,145.165,6.415,1404224,349724,68
6,1,17.579393,1.0,0.711931,1,1,1,0.0537,79.068,4819.848,174.99,9.422,1405068,349724,81
7,0,-7.751183,0.00043,0.404448,0,0,1,0.0585,91.266,4966.602,181.417,6.634,1405152,349724,67
8,0,-8.143544,0.000291,0.399667,0,0,1,0.0491,88.584,3983.35,82.765,3.287,1405384,349724,66
9,1,6.05825,0.997667,0.574836,1,1,1,0.032,40.766,2330.265,59.257,2.415,1403868,349724,79
