i,plaintext_features_bytes,plaintext_request_bytes,ciphertext_raw_bytes,ciphertext_b64_bytes,result_b64_bytes,expansion_vs_features,expansion_vs_request,total_wire_bytes
0,32,76,1054061,1405416,349724,43919.2,18492.3,1755140
1,32,77,1053001,1404004,349724,43875.1,18233.8,1753728
2,32,75,1053599,1404800,349724,43900.0,18730.7,1754524
3,32,73,1053959,1405280,349724,43915.0,19250.4,1755004
4,32,74,1053245,1404328,349724,43885.2,18977.4,1754052
5,32,73,1054032,1405376,349724,43918.0,19251.7,1755100
6,32,77,1054189,1405588,349724,43924.6,18254.4,1755312
7,32,72,1054019,1405360,349724,43917.5,19518.9,1755084
8,32,78,1053677,1404904,349724,43903.2,18011.6,1754628
9,32,73,1053939,1405252,349724,43914.1,19250.0,1754976
10,32,76,1052969,1403960,349724,43873.8,18473.2,1753684
11,32,73,1053829,1405108,349724,43909.6,19248.1,1754832
12,32,74,1053893,1405192,349724,43912.2,18989.1,1754916
13,32,76,1053815,1405088,349724,43909.0,18488.0,1754812
14,32,73,1053134,1404180,349724,43880.6,19235.3,1753904
15,32,72,1054044,1405392,349724,43918.5,19519.3,1755116
16,32,79,1054145,1405528,349724,43922.8,17791.5,1755252
17,32,80,1054121,1405496,349724,43921.8,17568.7,1755220
18,32,77,1053034,1404048,349724,43876.5,18234.4,1753772
19,32,73,1053869,1405160,349724,43911.2,19248.8,1754884
